schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113-INTRO,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,1,113,113-intro,113-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 113 and paragraph 113A.,exposition,Section introduction,Pengantar bagian,10,11,10,11,184,249,173,240,4db37d0d8b611d685793a1b5b2442a218e5ff85c9ae5ec75c0daaae6a2f8ea12,aaea0acd753b9be6e0dbdaca9e97faf6d62160af7eb5cc4ff99bbbfdd501c415,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113A,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,2,113A,113A,113A,explicit,false,,definition,Outer measures,Ukuran luar,12,28,12,28,249,761,240,794,6e16858b4262d7f8cb8286a36dc31c922e6c35cc69c3419c918bd67cc0a69f3c,4807596453acd58e27d133d2a45009919c49e0cbf45e25b7ae1f1c0dc24122ec,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113B,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,3,113B,113B,113B,explicit,false,,exposition,Remarks (a),Catatan (a),29,31,29,31,761,838,794,880,938652d5e57051c164164e476b215c4734e286c0f7d70611c5964084b41b7509,cef3ecf87886c849786f0c6bc9f2cad82e5e5957a30f850f137e1bc9cacb921d,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113BA,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113B,4,113B,113Ba,113Ba,implicit-subanchor,false,Fremlin prints paragraph 113B with inline clause label (a); 113Ba restores the implicit paragraph ID.,exposition,Remark (a),Catatan (a),29,31,29,31,761,838,794,880,938652d5e57051c164164e476b215c4734e286c0f7d70611c5964084b41b7509,cef3ecf87886c849786f0c6bc9f2cad82e5e5957a30f850f137e1bc9cacb921d,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113BB,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,5,113Bb,113Bb,113Bb,explicit,false,,exposition,Remark (b),Catatan (b),32,38,32,39,838,1201,880,1280,e5965de3adc6a8b79acd29f13e5eb45193f9bda9bcac19a5828d45335a97ec79,5571a4e00bab54f0c720cc46269509427f751587c236ab57aebb4b1ba85f146e,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113BC,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,6,113Bc,113Bc,113Bc,explicit,false,,exposition,Remark (c),Catatan (c),39,44,40,45,1201,1452,1280,1556,655451ddca7d6f5ec79cb202e14a320033200567acd9b7c98642991063f05ed9,ef2cde213059ef71ea17c420fcaa6e187ea9ff127ffc761e44a940cd857e2f7b,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113C,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,,7,113C,113C,113C,explicit,false,,result,Caratheodory's Method: Theorem,Metode Caratheodory: Teorema,45,221,46,222,1452,7112,1556,7493,548449e5ba381465b1dfa191de94e0fd90c4d6f046f399797b38b53688beeba5,0ff214e510319d6daa14eef24632f20ba78b6683d2d6a1f5aee306b83ceb5a33,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113CA,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113C,8,113C,113Ca,113Ca,implicit-subanchor,false,Printed proof clause (a) inside 113C restored as implicit semantic ID 113Ca.,proof-clause,Proof clause (a),Klausa bukti (a),55,65,56,66,1874,2152,2024,2326,b9099135e2543a5818c025d3e57d667fdff0daa7e77ea56892077a0f541168a7,d0163634d33302a62da03c744382ff2b47c003e9ab025b0ca7cb887ea804a07d,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113CB,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113C,9,113C,113Cb,113Cb,implicit-subanchor,false,Printed proof clause (b) inside 113C restored as implicit semantic ID 113Cb.,proof-clause,Proof clause (b),Klausa bukti (b),66,80,67,81,2152,2570,2326,2750,1f3585cc3257db146ea263e16a908047cbc90171f62d1f6a2a27b267e3fb692c,2c1b64319dfb96fbfaf18065c472da9f182bc6b9f2ba1c9fc8643c140ac058f7,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S113-SEG-113CC,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113C,10,113C,113Cc,113Cc,implicit-subanchor,false,Printed proof clause (c) inside 113C restored as implicit semantic ID 113Cc.,proof-clause,Proof clause (c),Klausa bukti (c),81,121,82,122,2570,3885,2750,4060,e9df982d6fb94bcb8c9f4af1d37e30bd9ec92dc7010d7958ad965540fdaa5de3,48de3dd582368aeabe2f05a4253f80ebf997770ed583cb138eaa98e1b7757c16,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source correction"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
