schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,semantic_anchor,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,importance,importance_basis,provenance
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XA,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XA,1,242X,242Xa,"\leader{242X}{Basic exercises $\pmb{>}$(a)} Let $X$ be a set, and let
$\mu$ be
counting measure on $X$.   Show that $L^1(\mu)$ can be identified with
the space $\ell^1(X)$ of absolutely summable real-valued functions on
$X$ (see 226A).   In particular, the space $\ell^1=\ell^1(\Bbb N)$ of
absolutely summable real-valued sequences is an $L^1$ space.
Write out proofs of 242F adapted to these special cases.
%242F, but put at start

","\leader{242X}{Latihan dasar $\pmb{>}$(a)} Misalkan $X$ suatu himpunan,
dan misalkan $\mu$ ukuran cacah pada $X$. Tunjukkan bahwa $L^1(\mu)$
dapat diidentifikasi dengan ruang $\ell^1(X)$ dari fungsi-fungsi bernilai
riil pada $X$ yang dapat dijumlahkan secara mutlak (lihat 226A). Khususnya,
ruang $\ell^1=\ell^1(\Bbb N)$ dari barisan bernilai riil yang dapat
dijumlahkan secara mutlak merupakan suatu ruang $L^1$. Tuliskan bukti 242F
yang disesuaikan dengan kasus-kasus khusus ini.
%242F, but put at start

",3fc30b34b342edb2fcc3dd272e49eeda3906e719df5a3d1d5cd88532ec520095,3e33f31d5772d0176a955a69eb0981c1db6aad1d564b04c71f8730842468d039,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XB,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XB,2,242Xb,242Xb,"\sqheader 242Xb Let $(X,\Sigma,\mu)$ be any measure space, and
$\hat\mu$ the completion of $\mu$.   Show that
$\eusm L^1(\hat\mu)=\eusm L^1(\mu)$ and $L^1(\hat\mu)=L^1(\mu)$ (cf.\
241Xb).
%242A

","\sqheader 242Xb Misalkan $(X,\Sigma,\mu)$ sebarang ruang ukur, dan
$\hat\mu$ kelengkapan dari $\mu$. Tunjukkan bahwa
$\eusm L^1(\hat\mu)=\eusm L^1(\mu)$ dan
$L^1(\hat\mu)=L^1(\mu)$ (bandingkan 241Xb).
%242A

",6963ce3895600d64db5541dffc8314bafb4f340d832e9370f608c88f3d4e07b5,4c852472a0db5d32235e65af89998bef2e9a09781828e671326de575e937d6f2,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XC,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XC,3,242Xc,242Xc,"\spheader 242Xc Let
$\langle(X_i,\Sigma_i,\mu_i)\rangle_{i\in I}$ be a family of measure
spaces, and $(X,\Sigma,\mu)$ their direct
sum.   Show that the isomorphism between $L^0(\mu)$ and
$\prod_{i\in I}L^0(\mu_i)$ (241Xd) induces an identification between
$L^1(\mu)$ and

\Centerline{$\{u:u\in\prod_{i\in I}L^1(\mu_i),\,
  \|u\|=\sum_{i\in I}\|u(i)\|_1<\infty\}
\subseteq\prod_{i\in I}L^1(\mu_i)$.}
%242D

","\spheader 242Xc Misalkan
$\langle(X_i,\Sigma_i,\mu_i)\rangle_{i\in I}$ suatu keluarga ruang ukur,
dan $(X,\Sigma,\mu)$ jumlah langsungnya. Tunjukkan bahwa isomorfisme antara
$L^0(\mu)$ dan $\prod_{i\in I}L^0(\mu_i)$ (241Xd) mengimbaskan suatu
identifikasi antara $L^1(\mu)$ dan

\Centerline{$\{u:u\in\prod_{i\in I}L^1(\mu_i),\,
  \|u\|=\sum_{i\in I}\|u(i)\|_1<\infty\}
\subseteq\prod_{i\in I}L^1(\mu_i)$.}
%242D

",30768ba1555689437752aa6f5fe2a8e0eddb93798679d14bc067f3f3e091335e,096eab60fdac466043e3acb7f4fb2ad501dae061d8b69d58d7574412f081bf42,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XD,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XD,4,242Xd,242Xd,"\spheader 242Xd Let $(X,\Sigma,\mu)$ and $(Y,\Tau,\nu)$ be measure
spaces, and $\phi:X\to Y$ an \imp\ function.   Show that
$g\mapsto g\phi:\eusm L^1(\nu)\to\eusm L^1(\mu)$ (235G) induces a
linear operator
$T:L^1(\nu)\to L^1(\mu)$ such that $\|Tv\|_1=\|v\|_1$ for every
$v\in L^1(\nu)$.
%242D

","\spheader 242Xd Misalkan $(X,\Sigma,\mu)$ dan $(Y,\Tau,\nu)$
ruang-ruang ukur, dan $\phi:X\to Y$ suatu \imp\ fungsi. Tunjukkan bahwa
$g\mapsto g\phi:\eusm L^1(\nu)\to\eusm L^1(\mu)$ (235G) mengimbaskan
operator linear $T:L^1(\nu)\to L^1(\mu)$ sedemikian sehingga
$\|Tv\|_1=\|v\|_1$ untuk setiap $v\in L^1(\nu)$.
%242D

",62026043b0f637a08ef033aaae6b5f15947f1ea5e6a2b5b7ad1950da280e976b,b8ba25db66e40ca2ba5ae580187a864a2855b5ffa622f5960eaff91c07026ae2,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XE,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XE,5,242Xe,242Xe,"\spheader 242Xe Let $U$ be a Riesz space (definition:  241Ed).   A
{\bf Riesz norm} on $U$ is a norm $\|\,\|$ such that $\|u\|\le\|v\|$
whenever $|u|\le|v|$.    Show that if $U$ is given its norm topology 
(2A4Bb) for such a norm, then (i)
$u\mapsto|u|:U\to U$, $(u,v)\mapsto u\vee v:U\times U\to U$ are
continuous (ii) $\{u:u\ge 0\}$ is closed.
%242D

","\spheader 242Xe Misalkan $U$ suatu ruang Riesz (definisi: 241Ed).
Suatu {\bf norma Riesz} pada $U$ adalah norma $\|\,\|$ sedemikian
sehingga $\|u\|\le\|v\|$ kapan pun $|u|\le|v|$. Tunjukkan bahwa jika
$U$ diberi topologi normanya (2A4Bb) untuk norma semacam itu, maka
(i) $u\mapsto|u|:U\to U$, $(u,v)\mapsto u\vee v:U\times U\to U$
kontinu (ii) $\{u:u\ge 0\}$ tertutup.
%242D

",bf2e7f6886686323700aa2df7074af1db4a50af98f8d22b1bb0993f596cab4a7,9532d2ccb9c72079d5a43df52ff3c0682efa29c98eb93283d9bedae255c0b08c,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XF,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XF,6,242Xf,242Xf,"\spheader 242Xf Show that any Banach lattice must be an
Archimedean Riesz space (241Fa).
%242G

","\spheader 242Xf Tunjukkan bahwa setiap kisi Banach harus merupakan
ruang Riesz Archimedes (241Fa).
%242G

",f10dfe8825b2081fd4af1b241e06ce8eee5de63f40424cec0a6c8cdd49f67182,47068107baf3778128087c2e75b4b13e5501057a569a472ab3ba58e2f46977af,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XG,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XG,7,242Xg,242Xg,"\spheader 242Xg Let $(X,\Sigma,\mu)$ be a probability space, and
$\Tau$ a $\sigma$-subalgebra of $\Sigma$, $\Upsilon$ a
$\sigma$-subalgebra of $\Tau$.   Let
$P_1:L^1(\mu)\to L^1(\mu\restrp\Tau)$,
$P_2:L_1(\mu\restrp\Tau)\to L^1(\mu\restrp\Upsilon)$ and
$P:L^1(\mu)\to L^1(\mu\restrp\Upsilon)$ be the corresponding
conditional
expectation operators.   Show that $P=P_2P_1$.
%242J

","\spheader 242Xg Misalkan $(X,\Sigma,\mu)$ suatu ruang probabilitas,
$\Tau$ suatu subaljabar-$\sigma$ dari $\Sigma$, dan $\Upsilon$ suatu
subaljabar-$\sigma$ dari $\Tau$. Misalkan
$P_1:L^1(\mu)\to L^1(\mu\restrp\Tau)$,
$P_2:L^1(\mu\restrp\Tau)\to L^1(\mu\restrp\Upsilon)$, dan
$P:L^1(\mu)\to L^1(\mu\restrp\Upsilon)$ operator-operator ekspektasi
bersyarat yang bersesuaian. Tunjukkan bahwa $P=P_2P_1$.
%242J

",37c3c8eed7a39b85035912bd1ad533d9884ef8059c5e9e5361309ab58ef9973b,17bb52a11b00e3dfd5926a1cd84f77e05c6af08562f1fb07ead641ded8ff7487,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XH,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XH,8,242Xh,242Xh,"\spheader 242Xh Show that if $g:\BbbR^r\to\Bbb R$ is continuous and
has bounded support it is bounded and attains its bounds.   
\Hint{2A2F-2A2G.}
%242O

","\spheader 242Xh Tunjukkan bahwa jika $g:\BbbR^r\to\Bbb R$ kontinu dan
mempunyai dukungan terbatas, maka fungsi itu terbatas dan mencapai batas-batasnya.
\Hint{2A2F-2A2G.}
%242O

",55fe1d90ccdf080bc2d1f0da6d46f64449cb822fc6b0025d607beed1ad88b255,202e651c1f4d7eace1a08beb4fc54a81ee2950b36b0daf9691be1a2689df4882,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XI,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XI,9,242Xi,242Xi,"\spheader 242Xi Let $\mu$ be Lebesgue measure on $\Bbb R$.   (i) Take
$\delta>0$.   Show
that if $\phi_{\delta}(x)=\exp(-\Bover{1}{\delta^2-x^2})$ for
$|x|<\delta$, $0$ for $|x|\ge\delta$ then $\phi$ is {\bf smooth}, that
is, differentiable arbitrarily often.   (ii) Show that if
$F_{\delta}(x)=\int_{-\infty}^x\phi_{\delta}d\mu$ for $x\in\Bbb R$
then
$F_{\delta}$ is smooth.   (iii) Show that if $a<b<c<d$ in $\Bbb R$
there is a smooth function $h$ such that $\chi[b,c]\le
h\le\chi[a,d]$.   (iv) Write $\eusm D$ for the space of smooth
functions $h:\Bbb R\to\Bbb R$ such that $\{x:h(x)\ne 0\}$ is bounded.
  Show that
$\{h^{\ssbullet}:h\in\eusm D\}$ is dense in $L^1(\mu)$.
(v) Let $f$ be a real-valued function which is integrable over every
bounded subset of $\Bbb R$.   Show that $f\times h$ is integrable for
every $h\in\eusm D$, and that if $\int f\times h=0$ for every
$h\in\eusm D$ then $f=0$ a.e.   \Hint{222D.}
%242O

","\spheader 242Xi Misalkan $\mu$ ukuran Lebesgue pada $\Bbb R$. (i) Ambil
$\delta>0$. Tunjukkan bahwa jika
$\phi_{\delta}(x)=\exp(-\Bover{1}{\delta^2-x^2})$ untuk
$|x|<\delta$, dan $0$ untuk $|x|\ge\delta$, maka $\phi_{\delta}$ {\bf mulus},
yakni dapat didiferensialkan sebanyak kali yang diinginkan. (ii) Tunjukkan
bahwa jika $F_{\delta}(x)=\int_{-\infty}^x\phi_{\delta}d\mu$ untuk
$x\in\Bbb R$, maka $F_{\delta}$ mulus. (iii) Tunjukkan bahwa jika
$a<b<c<d$ dalam $\Bbb R$, terdapat fungsi mulus $h$ sedemikian sehingga
$\chi[b,c]\le h\le\chi[a,d]$. (iv) Tuliskan $\eusm D$ untuk ruang
fungsi-fungsi mulus $h:\Bbb R\to\Bbb R$ sedemikian sehingga
$\{x:h(x)\ne 0\}$ terbatas. Tunjukkan bahwa
$\{h^{\ssbullet}:h\in\eusm D\}$ padat dalam $L^1(\mu)$.
(v) Misalkan $f$ suatu fungsi bernilai riil yang terintegralkan pada setiap
subhimpunan terbatas dari $\Bbb R$. Tunjukkan bahwa $f\times h$
terintegralkan untuk setiap $h\in\eusm D$, dan bahwa jika
$\int f\times h=0$ untuk setiap $h\in\eusm D$, maka $f=0$ hampir di
mana-mana. \Hint{222D.}
%242O

",ca4e5360ccbdef04bb4992edd79ae25399e944b46d18c9777728dffad7cf5d9b,1f602aa612f66a1ada30d8488ec93180f41698757a98e14e2544e6edc09cf501,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S242-EXERCISE-242XJ,O007-FREMLIN-V2-S242,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S242-SEG-242XJ,10,242Xj,242Xj,"\spheader 242Xj Let $(X,\Sigma,\mu)$ be a probability space,
$\Tau$ a $\sigma$-subalgebra of $\Sigma$ and
$P:L^1(\mu)\to L^1(\mu\restrp\Tau)\subseteq L^1(\mu)$
the corresponding conditional expectation operator.   Show that if
$u$, $v\in L^1(\mu)$ are such that $P|u|\times P|v|\in L^1(\mu)$, then
$\int Pu\times v=\int Pu\times Pv=\int u\times Pv$.
%242L

","\spheader 242Xj Misalkan $(X,\Sigma,\mu)$ suatu ruang probabilitas,
$\Tau$ suatu subaljabar-$\sigma$ dari $\Sigma$, dan
$P:L^1(\mu)\to L^1(\mu\restrp\Tau)\subseteq L^1(\mu)$ operator
ekspektasi bersyarat yang bersesuaian. Tunjukkan bahwa jika $u$,
$v\in L^1(\mu)$ sedemikian sehingga $P|u|\times P|v|\in L^1(\mu)$,
maka $\int Pu\times v=\int Pu\times Pv=\int u\times Pv$.
%242L

",8028574902a29c3384163a3b91cd5b1132dab54868bf89cf22a58559f85daead,fa9d77fb81375c006cdc2537b87140a9127c4862b751668db9a7ddd3b79c1619,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
