schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,source_locator,provenance
1.1.0,relation,O007-FREMLIN-V1-S115-REL-001,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115AA,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115A,1,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-002,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115DA,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115D,2,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-003,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115DB,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115D,3,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-004,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115YA,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115Y,4,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-005,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115BA,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115B,5,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-006,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115BB,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115B,6,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-007,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115BC,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115B,7,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-008,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115BD,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115B,8,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-009,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115BE,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115B,9,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S115-REL-010,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115FA,semantic-child-of,O007-FREMLIN-V1-S115-SEG-115F,10,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
