schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-001,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122AA,result-reference,O007-FREMLIN-V1-S121-SEG-121C,1,122Aa,122Aa,121C,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt122.tex:27: sense of 121C above,} iff $A\in\Sigma$\cmmnt{ (because","{""basis"":""literal printed source expression '121C'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-002,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122B,result-reference,O007-FREMLIN-V1-S121-SEG-121EB,2,122B,122B,121Eb,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt122.tex:52: measurable functions are measurable (121Eb-121Ec).  (b)-(d) are,"{""basis"":""literal printed source expression '121Eb-121Ec'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-003,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122B,result-reference,O007-FREMLIN-V1-S121-SEG-121EC,3,122B,122B,121Ec,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt122.tex:52: measurable functions are measurable (121Eb-121Ec).  (b)-(d) are,"{""basis"":""literal printed source expression '121Eb-121Ec'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-004,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122D,result-reference,O007-FREMLIN-V1-S122-SEG-122CC,4,122D,122D,122Cc,resolved-in-unit,authority/fremlin/source/mt1.2011/mt122.tex:141: \proof{ Apply 122Cc to,"{""basis"":""literal printed source expression '122Cc'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-005,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122E,result-reference,O007-FREMLIN-V1-S122-SEG-122D,5,122E,122E,122D,resolved-in-unit,authority/fremlin/source/mt1.2011/mt122.tex:155: 122D promises us that it won't matter which representation of $f$ we pick,"{""basis"":""literal printed source expression '122D'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-006,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122F,result-reference,O007-FREMLIN-V1-S122-SEG-122E,6,122F,122F,122E,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt122.tex:173: for $\int f$ in 122E.   As for (c), observe that $g-f$ is a","{""basis"":""literal printed source expression '122E'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-007,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122F,result-reference,O007-FREMLIN-V1-S122-SEG-122CC,7,122F,122F,122Cc,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt122.tex:175: simple function, so that $\int g-f\ge 0$, by 122Cc;  but this means","{""basis"":""literal printed source expression '122Cc'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-008,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122G,result-reference,O007-FREMLIN-V1-S121-SEG-121E,8,122G,122G,121E,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt122.tex:196: 121E), and $\langle H_n\rangle_{n\in\Bbb N}$ is a non-increasing","{""basis"":""literal printed source expression '121E'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-009,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122G,result-reference,O007-FREMLIN-V1-S112-SEG-112CF,9,122G,122G,112Cf,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt122.tex:212: \noindent (112Cf).   Let $n$ be so large that $\mu H_n\le\epsilon$.,"{""basis"":""literal printed source expression '112Cf'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S122-XREF-010,O007-FREMLIN-V1-S122,O007-FREMLIN-V1-S122-SEG-122I,result-reference,O007-FREMLIN-V1-S122-SEG-122H,10,122I,122I,122H,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt122.tex:240: in 122H, then","{""basis"":""literal printed source expression '122H'; ranges and grouped chapters expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
