schema_version,record_type,id,unit_id,rights_id,segment_id,exercise_id,source_anchor,semantic_anchor,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,hint_ordinal,provenance
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XA-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XA,O007-FREMLIN-V2-S254-EXERCISE-254XA,254Xa,254Xa,1840,1839,"select the $C_j$ from the
measurable cylinders composing a set $V$ as in (v).","pilih $C_j$ dari
silinder-silinder terukur yang menyusun suatu himpunan $V$ seperti dalam (v).",f4a98814a909063c043f1f3c4ffa363b848988395facaa11bf127909095a488a,f21cac3ee82c05a3d791204df84ae3b29b80cd48aa757ac1d9b2ebdeba57d420,1,"{""basis"":""active Hint macro associated with 254Xa"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XA-02,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XA,O007-FREMLIN-V2-S254-EXERCISE-254XA,254Xa,254Xa,1844,1843,show that $\int_Wf\le\int_Wf$ for every $W\in\Lambda$.,tunjukkan bahwa $\int_Wf\le\int_Wg$ untuk setiap $W\in\Lambda$.,cb88139aecef6445aa9bf0a9c86d3758b98707992eb82ecfc726d5717351c0b7,9fa7fe787f6c68cb11ea5b46e38a9b9d9bab09feaba8c57a6f50a715b19878e5,2,"{""basis"":""active Hint macro associated with 254Xa"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XC-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XC,O007-FREMLIN-V2-S254-EXERCISE-254XC,254Xc,254Xc,1864,1863,136C.,136C.,0ce395f60a586dcece89342db4b2b69a78fbaf5530156be9be74b01f577d2903,0ce395f60a586dcece89342db4b2b69a78fbaf5530156be9be74b01f577d2903,1,"{""basis"":""active Hint macro associated with 254Xc"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XN-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XN,O007-FREMLIN-V2-S254-EXERCISE-254XN,254Xn,254Xn,1947,1946,"assemble
ideas from 252Xc, 254F, 254L and 254N.","gabungkan
gagasan-gagasan dari 252Xc, 254F, 254L dan 254N.",1dad93280d075771067b0e9e9d8ccd788cace9408aa3a4a1a62837c88af1f560,c4f2219469f373a3c45e3f370b8317b8007d4d7a98f01d9bf758e852f2effd7c,1,"{""basis"":""active Hint macro associated with 254Xn"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XQ-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XQ,O007-FREMLIN-V2-S254-EXERCISE-254XQ,254Xq,254Xq,1981,1980,253D.,253D.,ca7333270353265b48bc4bbe13e337f5c606076431b35888448ee9d61b40a11c,ca7333270353265b48bc4bbe13e337f5c606076431b35888448ee9d61b40a11c,1,"{""basis"":""active Hint macro associated with 254Xq"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254XR-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254XR,O007-FREMLIN-V2-S254-EXERCISE-254XR,254Xr,254Xr,1995,1994,"for any $q\in\Bbb Q$, $\lambda^*\{x:f(x)\le q\}$ is either $0$ or
$1$.","untuk sembarang $q\in\Bbb Q$, $\lambda^*\{x:f(x)\le q\}$ bernilai $0$ atau
$1$.",c932665978c64ce6247a072a8010e3f2249f23eae58c242d6a3a68edaafb45b5,87168164333381911635ef3de2646f2c7ea46575d99f8263a127714075f28e20,1,"{""basis"":""active Hint macro associated with 254Xr"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254YB-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254YB,O007-FREMLIN-V2-S254-EXERCISE-254YB,254Yb,254Yb,2046,2045,{\smc Baker 04}.,{\smc Baker 04}.,7ed840e672226f2ada2a08f04cbc15acb432f65af1e76b2555ae1e145e06164b,7ed840e672226f2ada2a08f04cbc15acb432f65af1e76b2555ae1e145e06164b,1,"{""basis"":""active Hint macro associated with 254Yb"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254YE-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254YE,O007-FREMLIN-V2-S254-EXERCISE-254YE,254Ye,254Ye,2071,2070,"show that $g_n:[0,1]\to[0,1]^{n+1}$ is \imp\ for every
$n\ge 1$, where
$g_n(t)=(f_1(t),f_1f_2(t),\ldots,\penalty-100f_1f_2^{n-1}(t),f_2^n(t))$
for $t\in[0,1]$.","tunjukkan bahwa $g_n:[0,1]\to[0,1]^{n+1}$ bersifat \imp\ untuk setiap
$n\ge 1$, dengan
$g_n(t)=(f_1(t),f_1f_2(t),\ldots,\penalty-100f_1f_2^{n-1}(t),f_2^n(t))$
untuk $t\in[0,1]$.",5d6209858b2acf19fcbd95b6261047608f02fbd07dd85f911347e509d58e39f4,688463a94044aa29c7e8f2e3db1f572c0d267b5d937c13ceef3687fac80da4d6,1,"{""basis"":""active Hint macro associated with 254Ye"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254YF-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254YF,O007-FREMLIN-V2-S254-EXERCISE-254YF,254Yf,254Yf,2079,2078,"254Xr, 254Xf.","254Xr, 254Xf.",b92d88830d4c0942f924b2a6f58540eb974d1a7683ccb9d5592ae5713bcb0b01,b92d88830d4c0942f924b2a6f58540eb974d1a7683ccb9d5592ae5713bcb0b01,1,"{""basis"":""active Hint macro associated with 254Yf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S254-HINT-254YG-01,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S254-SEG-254YG,O007-FREMLIN-V2-S254-EXERCISE-254YG,254Yg,254Yg,2087,2086,"consider
$\tilde W=\{(x_{\gamma},y):\gamma\in C$, $y\in F_{\gamma}\}$, in the
notation of 254U.","tinjau
$\tilde W=\{(x_{\gamma},y):\gamma\in C$, $y\in F_{\gamma}\}$, dalam
notasi 254U.",a526434364b13689fc480eabe525fa8c38b86500f469fc5d2152d2826b1212cf,dab676bea94f72c14c4d9e67bcb04f145397ff55dd7fc4c9b6ec02f701bec276,1,"{""basis"":""active Hint macro associated with 254Yg"",""kind"":""source-derived-hint-map""}"
