schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-001,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132-INTRO,source-reference,O007-FREMLIN-V1-S132-SEG-132A,1,132-intro,132A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt132.tex:13: ward way, a standard outer measure","{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-002,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132-INTRO,source-reference,O007-FREMLIN-V1-S132-SEG-132B,2,132-intro,132B,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt132.tex:13: way, a standard outer measure","{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-003,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132-INTRO,source-reference,O007-FREMLIN-V1-S132-SEG-132C,3,132-intro,132C,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:14: t return to,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-004,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132-INTRO,source-reference,O007-FREMLIN-V1-S132-SEG-132D,4,132-intro,132D,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:15: the idea of `measurable envelope' (132D-132E).,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-005,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132-INTRO,source-reference,O007-FREMLIN-V1-S132-SEG-132E,5,132-intro,132E,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:15: idea of `measurable envelope' (132D-132E).,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-006,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132A,source-reference,O007-FREMLIN-V1-S132-SEG-132A,6,132A,132A,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:17: ble envelope' (132D-132E).,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-007,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132B,source-reference,O007-FREMLIN-V1-S132-SEG-132B,7,132B,132B,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:103: .},"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-008,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132B,source-reference,O007-FREMLIN-V1-S132-SEG-132A,8,132B,132A,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:104: I,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-009,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132C,source-reference,O007-FREMLIN-V1-S132-SEG-132C,9,132C,132C,resolved-in-unit,authority/fremlin/source/mt1.2011/mt132.tex:126: ng $r=1$.,"{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S132-XREF-010,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132C,source-reference,O007-FREMLIN-V1-S132-SEG-132A,10,132C,132A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt132.tex:128: easure, then $\mu^*$, as defined in 132A, is","{""basis"":""literal printed source reference retained as a typed edge"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
