schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,source_label,target_label,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282D,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282D,282D,282D,282D,"\leader{282D}{Lemma} Let $f$ be a complex-valued function which is
integrable over $\ocint{-\pi,\pi}$, and

\Centerline{$c_k=\bover1{2\pi}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx$,
\quad$s_n(x)=\sum_{k=-n}^nc_ke^{ikx}$,
\quad$\sigma_m(x)=\bover1{m+1}\sum_{n=0}^ms_n(x)$}

\noindent its Fourier coefficients, Fourier sums and Fej\'er sums.
Write $\tilde f$ for the periodic extension of $f$\cmmnt{ (282Ae)}.   For
$m\in\Bbb N$, write

$$\psi_m(t)=\Bover{1-\cos(m+1)t}{2\pi(m+1)(1-\cos t)}$$

\noindent for $0<|t|\le\pi$.   \cmmnt{(If you like, you can set
$\psi_m(0)=\bover{m+1}{2\pi}$ to make $\psi_m$ continuous on
$[-\pi,\pi]$.)}

(a) For each $n\in\Bbb N$, $x\in\ocint{-\pi,\pi}$,

$$\eqalign{s_n(x)
&=\Bover1{2\pi}\int_{-\pi}^{\pi}f(t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})(x-t)}
  {\sin{1\over 2}(x-t)}dt\cr
&=\Bover1{2\pi}\int_{-\pi}^{\pi}\tilde f(x+t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt\cr
&=\Bover1{2\pi}\int_{-\pi}^{\pi}f(x-_{2\pi}t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt,\cr}$$

\noindent writing $x-_{2\pi}t$ for whichever of $x-t$, $x-t-2\pi$,
$x-t+2\pi$ belongs to $\ocint{-\pi,\pi}$.

(b) For each $m\in\Bbb N$, $x\in\ocint{-\pi,\pi}$,

$$\eqalign{\sigma_m(x)
&=\int_{-\pi}^{\pi}\tilde f(x+t)\psi_m(t)dt\cr
&=\int_{0}^{\pi}(\tilde f(x+t)+\tilde f(x-t))\psi_m(t)dt\cr
&=\int_{-\pi}^{\pi}f(x-_{2\pi}t)\psi_m(t)dt.\cr}$$

(c) For any $n\in\Bbb N$,

$$\Bover1{2\pi}\int_{-\pi}^{0}
  \Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=\Bover1{2\pi}\int_{0}^{\pi}
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=\Bover12,
\quad\Bover1{2\pi}\int_{-\pi}^{\pi}
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=1.$$

(d) For any $m\in\Bbb N$,

\quad (i) $0\le\psi_m(t)\le\Bover{m+1}{2\pi}$ for every $t$;

\quad (ii) for any $\delta>0$, $\lim_{m\to\infty}\psi_m(t)=0$ uniformly
on $\{t:\delta\le|t|\le\pi\}$;

\quad (iii) $\int_{-\pi}^0\psi_m=\int_0^{\pi}\psi_m=\Bover12$,
\quad $\int_{-\pi}^{\pi}\psi_m=1$.


","\leader{282D}{Lema} Misalkan $f$ adalah fungsi bernilai kompleks yang
dapat diintegralkan pada $\ocint{-\pi,\pi}$, dan

\Centerline{$c_k=\bover1{2\pi}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx$,
\quad$s_n(x)=\sum_{k=-n}^nc_ke^{ikx}$,
\quad$\sigma_m(x)=\bover1{m+1}\sum_{n=0}^ms_n(x)$}

\noindent masing-masing adalah koefisien Fourier, jumlah Fourier, dan jumlah Fej\'er-nya.
Tulis $\tilde f$ untuk perpanjangan periodik $f$\cmmnt{ (282Ae)}.   Untuk
$m\in\Bbb N$, tulis

$$\psi_m(t)=\Bover{1-\cos(m+1)t}{2\pi(m+1)(1-\cos t)}$$

\noindent untuk $0<|t|\le\pi$.   \cmmnt{(Jika mau, Anda dapat mengatur
$\psi_m(0)=\bover{m+1}{2\pi}$ agar $\psi_m$ kontinu di
$[-\pi,\pi]$.)}

(a) Untuk setiap $n\in\Bbb N$, $x\in\ocint{-\pi,\pi}$,

$$\eqalign{s_n(x)
&=\Bover1{2\pi}\int_{-\pi}^{\pi}f(t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})(x-t)}
  {\sin{1\over 2}(x-t)}dt\cr
&=\Bover1{2\pi}\int_{-\pi}^{\pi}\tilde f(x+t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt\cr
&=\Bover1{2\pi}\int_{-\pi}^{\pi}f(x-_{2\pi}t)
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt,\cr}$$

\noindent menulis $x-_{2\pi}t$ untuk $x-t$, $x-t-2\pi$,
$x-t+2\pi$ mana pun yang termasuk dalam $\ocint{-\pi,\pi}$.

(b) Untuk setiap $m\in\Bbb N$, $x\in\ocint{-\pi,\pi}$,

$$\eqalign{\sigma_m(x)
&=\int_{-\pi}^{\pi}\tilde f(x+t)\psi_m(t)dt\cr
&=\int_{0}^{\pi}(\tilde f(x+t)+\tilde f(x-t))\psi_m(t)dt\cr
&=\int_{-\pi}^{\pi}f(x-_{2\pi}t)\psi_m(t)dt.\cr}$$

(c) Untuk setiap $n\in\Bbb N$,

$$\Bover1{2\pi}\int_{-\pi}^{0}
  \Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=\Bover1{2\pi}\int_{0}^{\pi}
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=\Bover12,
\quad\Bover1{2\pi}\int_{-\pi}^{\pi}
\Bover{\sin(n+{1\over 2}\pushbottom{3.5pt})t}{\sin{1\over 2}t}dt
=1.$$

(d) Untuk setiap $m\in\Bbb N$,

\quad (i) $0\le\psi_m(t)\le\Bover{m+1}{2\pi}$ untuk setiap $t$;

\quad (ii) untuk $\delta>0$, $\lim_{m\to\infty}\psi_m(t)=0$ secara seragam
di $\{t:\delta\le|t|\le\pi\}$;

\quad (iii) $\int_{-\pi}^0\psi_m=\int_0^{\pi}\psi_m=\Bover12$,
\quad $\int_{-\pi}^{\pi}\psi_m=1$.


",ca768b6cdf66218bd3e8ebdfc25537829b2920efa8b8433f3c4a69ceae4b3a36,0ff5060158d3d0c328c87f3692808dc2e52316678ae143cc864a24e7f8185b8b,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282E,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282E,282E,282E,282E,"\leader{282E}{}\cmmnt{ The next step is a vital lemma, with a suitably
distinguished name which (you will be glad to know) reflects its
importance rather than its difficulty.

\medskip

\noindent}{\bf The Riemann-Lebesgue lemma} Let $f$ be a
complex-valued function which is integrable over $\Bbb R$.   Then

\Centerline{$\lim_{y\to\infty}\int f(x)e^{-iyx}dx
=\lim_{y\to-\infty}\int f(x)e^{-iyx}dx
=0$.}

","\leader{282E}{}\cmmnt{ Langkah selanjutnya adalah lema penting, dengan nama khusus
yang sesuai (Anda akan senang mengetahuinya) mencerminkan pentingnya,
bukan kesulitannya.

\medskip

\noindent}{\bf Lema Riemann-Lebesgue} Misalkan $f$ adalah fungsi bernilai kompleks
yang dapat diintegralkan pada $\Bbb R$.   Maka

\Centerline{$\lim_{y\to\infty}\int f(x)e^{-iyx}dx
=\lim_{y\to-\infty}\int f(x)e^{-iyx}dx
=0$.}

",d68d13e0d5a9053eab53fcf4f4fe43951b56d7840710cca2450ab086d1715447,fa3276120b09755987809452342fdab57278e4f168f0936587f5fc499857944a,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282F,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282F,282F,282F,282F,"\leader{282F}{Corollary} (a) Let $f$ be a complex-valued
function which is integrable over $\ocint{-\pi,\pi}$, and
$\langle c_k\rangle_{k\in\Bbb Z}$
its sequence of Fourier coefficients.   Then
$\lim_{k\to\infty}c_k=\lim_{k\to-\infty}c_k=0$.

(b) Let $f$ be a complex-valued function which is integrable over
$\Bbb R$.   Then
\penalty -100
$\lim_{y\to\infty}\int f(x)\sin yx\,dx=0$.

\wheader{282F}{6}{2}{2}{36pt}

","\leader{282F}{Akibat} (a) Misalkan $f$ adalah fungsi
bernilai kompleks yang dapat diintegralkan pada $\ocint{-\pi,\pi}$, dan
$\langle c_k\rangle_{k\in\Bbb Z}$
merupakan barisan koefisien Fourier-nya. Maka
$\lim_{k\to\infty}c_k=\lim_{k\to-\infty}c_k=0$.

(b) Misalkan $f$ adalah fungsi bernilai kompleks yang dapat diintegralkan pada
$\Bbb R$.   Maka
\penalty -100
$\lim_{y\to\infty}\int f(x)\sin yx\,dx=0$.

\wheader{282F}{6}{2}{2}{36pt}

",59a44fd9f914f434b66bc104f7bae696a7f8c234f0d5a634e58827d6c8a7e25e,8ca6743be7c6a242d52319c83a905339c48e0515f9d98146beb00b8076fae13f,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282G,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282G,282G,282G,282G,"\leader{282G}{}\cmmnt{ We are now ready for theorems on the
convergence of Fej\'er sums.
I start with an easy one, almost a warming-up exercise.

\medskip

\noindent}{\bf Theorem} Let $f:\ocint{-\pi,\pi}\to\Bbb C$ be a
continuous function such that $\lim_{t\downarrow-\pi}f(t)=f(\pi)$.
Then its sequence $\sequence{m}{\sigma_m}$ of
Fej\'er sums converges uniformly to $f$ on $\ocint{-\pi,\pi}$.

","\leader{282G}{}\cmmnt{ Sekarang kita siap untuk teorema tentang
konvergensi jumlah Fej\'er.
Saya mulai dengan latihan yang mudah, hampir seperti latihan pemanasan.

\medskip

\noindent}{\bf Teorema} Misalkan $f:\ocint{-\pi,\pi}\to\Bbb C$ adalah fungsi kontinu
sehingga $\lim_{t\downarrow-\pi}f(t)=f(\pi)$.
Maka urutannya $\sequence{m}{\sigma_m}$ dari jumlah
Fej\'er konvergen secara seragam ke $f$ di $\ocint{-\pi,\pi}$.

",0eb5dbee81966273f785a7f0d81d604dc2611fd5fef35b221304a7d789031f4d,da8fa6cb63708adbd93d08a68639a47c42f8435b785477b6bb6ce44fb212632d,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282H,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282H,282H,282H,282H,"\leader{282H}{}\cmmnt{ I come now to a theorem describing the
behaviour of the
Fej\'er sums of general functions $f$.   The hypothesis of the theorem
may take a little bit of digesting;  you can get an idea of its intended
scope by glancing at Corollary 282I.

\medskip

\noindent}{\bf Theorem} Let $f$ be a complex-valued function which is
integrable over $\ocint{-\pi,\pi}$, and $\sequence{m}{\sigma_m}$ its
sequence of Fej\'er sums.
Suppose that $x\in\ocint{-\pi,\pi}$ and $c\in\Bbb C$ are such that

$$\lim_{\delta\downarrow
0}\Bover1{\delta}\int_0^{\delta}|\tilde f(x+t)+\tilde f(x-t)-2c|dt=0,$$

\noindent writing $\tilde f$ for the periodic extension of $f$\cmmnt{, as
usual};  then $\lim_{m\to\infty}\sigma_m(x)=c$.

","\leader{282H}{}\cmmnt{ Sekarang saya sampai pada teorema yang menjelaskan perilaku
dari jumlah fungsi umum
Fej\'er $f$.   Hipotesis teorema
mungkin perlu sedikit dicerna;  Anda bisa mendapatkan gambaran tentang cakupan
yang dimaksudkan dengan melihat Akibat 282I.

\medskip

\noindent}{\bf Teorema} Misalkan $f$ adalah fungsi bernilai kompleks yang
dapat diintegralkan pada $\ocint{-\pi,\pi}$, dan $\sequence{m}{\sigma_m}$
barisan jumlah Fej\'er-nya. Misalkan $x\in\ocint{-\pi,\pi}$ dan
$c\in\Bbb C$ sedemikian sehingga

$$\lim_{\delta\downarrow
0}\Bover1{\delta}\int_0^{\delta}|\tilde f(x+t)+\tilde f(x-t)-2c|dt=0,$$

\noindent menulis $\tilde f$ untuk perpanjangan berkala $f$\cmmnt{, seperti
biasa};  lalu $\lim_{m\to\infty}\sigma_m(x)=c$.

",d040b9f0d8201a8707a02a1149cc74f4e23f342c6c90bf086a67128ae0e3c9aa,52ff1c9e437220df335ce2f2a3ed1ad3e6347f80ca95b1287a59c2acf98a634e,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282I,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282I,282I,282I,282I,"\leader{282I}{Corollary} Let $f$ be a complex-valued
function which is integrable over $\ocint{-\pi,\pi}$, and
$\sequence{m}{\sigma_m}$ its
sequence of Fej\'er sums.

(a) $f(x)=\lim_{m\to\infty}\sigma_m(x)$ for almost every
$x\in\ocint{-\pi,\pi}$.

(b) $\lim_{m\to\infty}\int_{-\pi}^{\pi}|f-\sigma_m|=0$.

(c) If $g$ is another integrable function with the same Fourier
coefficients, then $f\eae g$.

(d) If $x\in\ooint{-\pi,\pi}$ is such that
$a=\lim_{t\in\dom f,t\uparrow
x}f(t)$ and $b=\lim_{t\in\dom f,t\downarrow x}f(t)$ are both defined in
$\Bbb C$, then

\Centerline{$\lim_{m\to\infty}\sigma_m(x)=\Bover12(a+b)$.}

(e) If $a=\lim_{t\in\dom f,t\uparrow \pi}f(t)$ and $b=\lim_{t\in\dom
f,t\downarrow -\pi}f(t)$ are both defined in $\Bbb C$, then

\Centerline{$\lim_{m\to\infty}\sigma_m(\pi)=\Bover12(a+b)$.}

(f) If $f$ is defined and continuous at $x\in\ooint{-\pi,\pi}$, then

\Centerline{$\lim_{m\to\infty}\sigma_m(x)=f(x)$.}

(g) If $\tilde f$, the periodic extension of $f$, is defined and
continuous at $\pi$, then

\Centerline{$\lim_{m\to\infty}\sigma_m(\pi)=f(\pi)$.}

","\leader{282I}{Akibat} Misalkan $f$ adalah fungsi bernilai kompleks yang dapat
diintegralkan pada $\ocint{-\pi,\pi}$, dan $\sequence{m}{\sigma_m}$ barisan
jumlah Fej\'er-nya.

(a) $f(x)=\lim_{m\to\infty}\sigma_m(x)$ untuk hampir setiap
$x\in\ocint{-\pi,\pi}$.

(b) $\lim_{m\to\infty}\int_{-\pi}^{\pi}|f-\sigma_m|=0$.

(c) Jika $g$ adalah fungsi yang dapat diintegralkan lainnya dengan koefisien Fourier
yang sama, maka $f\eae g$.

(d) Jika $x\in\ooint{-\pi,\pi}$ sedemikian rupa sehingga
$a=\lim_{t\in\dom f,t\uparrow
x}f(t)$ dan $b=\lim_{t\in\dom f,t\downarrow x}f(t)$ keduanya didefinisikan dalam
$\Bbb C$, maka

\Centerline{$\lim_{m\to\infty}\sigma_m(x)=\Bover12(a+b)$.}

(e) Jika $a=\lim_{t\in\dom f,t\uparrow \pi}f(t)$ dan $b=\lim_{t\in\dom
f,t\downarrow -\pi}f(t)$ keduanya didefinisikan dalam $\Bbb C$, maka

\Centerline{$\lim_{m\to\infty}\sigma_m(\pi)=\Bover12(a+b)$.}

(f) Jika $f$ terdefinisi dan kontinu di $x\in\ooint{-\pi,\pi}$, maka

\Centerline{$\lim_{m\to\infty}\sigma_m(x)=f(x)$.}

(g) Jika $\tilde f$, perpanjangan periodik $f$, terdefinisi dan
kontinu di $\pi$, maka

\Centerline{$\lim_{m\to\infty}\sigma_m(\pi)=f(\pi)$.}

",e8546fe9a01fa9fe09deada0a8a68050f151bf686eafbcba5b82d5e69ecbdb4f,bd752462774f00ffc1b6919e8877fe6e34f8d1dcc7d55d18e01c56f04e0a1c60,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282J,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282J,282J,282J,282J,"\leader{282J}{}\cmmnt{ I now turn to conditions for the convergence of
Fourier sums.    Probably the easiest result -- one which
is both striking and satisfying -- is the following.

\medskip

\noindent}{\bf Theorem} Let $f$ be a complex-valued function which is
square-integrable over $\ocint{-\pi,\pi}$.   Let
$\langle c_k\rangle_{k\in\Bbb Z}$ be its Fourier coefficients and
$\sequencen{s_n}$ its Fourier sums\cmmnt{ (282A)}.   Then

(i) $\sum_{k=-\infty}^{\infty}|c_k|^2
=\Bover1{2\pi}\int_{-\pi}^{\pi}|f|^2$,

(ii) $\lim_{n\to\infty}\int_{-\pi}^{\pi}|f-s_n|^2=0$.

","\leader{282J}{}\cmmnt{ Sekarang saya beralih ke kondisi konvergensi jumlah Fourier.    Mungkin hasil termudah -- yang
mencolok dan memuaskan -- adalah sebagai berikut.

\medskip

\noindent}{\bf Teorema} Misalkan $f$ adalah fungsi bernilai kompleks yang
terintegralkan-kuadrat pada $\ocint{-\pi,\pi}$. Misalkan
$\langle c_k\rangle_{k\in\Bbb Z}$ adalah koefisien Fourier-nya dan
$\sequencen{s_n}$ jumlah Fourier-nya\cmmnt{ (282A)}. Maka

(i) $\sum_{k=-\infty}^{\infty}|c_k|^2
=\Bover1{2\pi}\int_{-\pi}^{\pi}|f|^2$,

(ii) $\lim_{n\to\infty}\int_{-\pi}^{\pi}|f-s_n|^2=0$.

",411f51841b98750706dadfcd35536eeb551a34d4b1b017bef0214096a467dfb8,f689ea10d3bb03f492d743fd0c846a10331d43292626a523c3693c32099675a3,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282K,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282K,282K,282K,282K,"\leader{282K}{Corollary} Let $L_{\Bbb C}^2$ be the Hilbert space of
equivalence classes of square-integrable complex-valued functions on
$\ocint{-\pi,\pi}$, with the inner product

$$(f^{\ssbullet}|g^{\ssbullet})
=\int_{-\pi}^{\pi}f\times\bar g$$

\noindent and norm

$$\|f^{\ssbullet}\|_2
=\bigl(\int_{-\pi}^{\pi}|f|^2\bigr)^{1/2},$$

\noindent writing $f^{\ssbullet}\in L_{\Bbb C}^2$ for the equivalence
class of a
square-integrable function $f$.   Let $\ell_{\Bbb C}^2(\Bbb Z)$ be the
Hilbert space of
square-summable double-ended complex sequences, with the inner product

$$(\pmb{c}|\pmb{d})=\sum_{k=-\infty}^{\infty}c_k\bar d_k$$

\noindent and norm

$$\|\pmb{c}\|_2
=\bigl(\sum_{k=-\infty}^{\infty}|c_k|^2\bigr)^{1/2}$$

\noindent for $\pmb{c}=\langle c_k\rangle_{k\in\Bbb Z}$,
$\pmb{d}=\langle d_k\rangle_{k\in\Bbb Z}$ in $\ell_{\Bbb C}^2(\Bbb Z)$.
Then we have an inner-product-space isomorphism
$S:L_{\Bbb C}^2\to\ell_{\Bbb C}^2(\Bbb Z)$
defined by saying that

\Centerline{$S(f^{\ssbullet})(k)
=\Bover1{\sqrt{2\pi}}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx$}

\noindent for every square-integrable function $f$ and every
$k\in\Bbb Z$.

","\leader{282K}{Akibat} Misalkan $L_{\Bbb C}^2$ adalah ruang Hilbert kelas-kelas
ekuivalensi fungsi bernilai kompleks yang terintegralkan-kuadrat pada
$\ocint{-\pi,\pi}$, dengan hasil kali dalam

$$(f^{\ssbullet}|g^{\ssbullet})
=\int_{-\pi}^{\pi}f\times\bar g$$

\noindent dan norma

$$\|f^{\ssbullet}\|_2
=\bigl(\int_{-\pi}^{\pi}|f|^2\bigr)^{1/2},$$

\noindent menulis $f^{\ssbullet}\in L_{\Bbb C}^2$ untuk kelas kesetaraan
dari fungsi terintegralkan-kuadrat
 $f$.   Misalkan $\ell_{\Bbb C}^2(\Bbb Z)$ menjadi
Ruang Hilbert dari barisan kompleks berujung ganda
yang dapat dijumlahkan persegi, dengan hasil kali dalam

$$(\pmb{c}|\pmb{d})=\sum_{k=-\infty}^{\infty}c_k\bar d_k$$

\noindent dan norma

$$\|\pmb{c}\|_2
=\bigl(\sum_{k=-\infty}^{\infty}|c_k|^2\bigr)^{1/2}$$

\noindent untuk $\pmb{c}=\langle c_k\rangle_{k\in\Bbb Z}$,
$\pmb{d}=\langle d_k\rangle_{k\in\Bbb Z}$ di $\ell_{\Bbb C}^2(\Bbb Z)$.
Maka kita mempunyai isomorfisme ruang hasil kali dalam
$S:L_{\Bbb C}^2\to\ell_{\Bbb C}^2(\Bbb Z)$
didefinisikan oleh

\Centerline{$S(f^{\ssbullet})(k)
=\Bover1{\sqrt{2\pi}}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx$}

\noindent untuk setiap fungsi terintegralkan-kuadrat $f$ dan setiap
$k\in\Bbb Z$.

",ea3061836daecbe6b64010359f5b182874a176518639134729131959f7d6cfe2,08e8240cbc8882315ad230d60fb9b2a5559b516fd2210f62b7c8a3c2595903c5,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282L,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282L,282L,282L,282L,"\leader{282L}{}\cmmnt{ The next result is the easiest, and one of the
most useful, theorems concerning pointwise convergence of Fourier sums.

\medskip

\noindent}{\bf Theorem} Let $f$ be a complex-valued function which is
integrable over $\ocint{-\pi,\pi}$, and $\sequencen{s_n}$ its
sequence of Fourier sums.

(i) If $f$ is differentiable at $x\in\ooint{-\pi,\pi}$, then
$f(x)=\lim_{n\to\infty}s_n(x)$.

(ii) If the periodic extension $\tilde f$ of $f$ is differentiable at
$\pi$, then $f(\pi)=\lim_{n\to\infty}s_n(\pi)$.

\wheader{282L}{0}{0}{0}{60pt}

","\leader{282L}{}\cmmnt{ Hasil berikutnya adalah yang paling mudah, dan salah satu teorema
yang paling berguna, mengenai konvergensi titik demi titik dari jumlah Fourier.

\medskip

\noindent}{\bf Teorema} Misalkan $f$ adalah fungsi bernilai kompleks yang
dapat diintegralkan pada $\ocint{-\pi,\pi}$, dan $\sequencen{s_n}$ barisan
jumlah Fourier-nya.

(i) Jika $f$ terdiferensiasi di $x\in\ooint{-\pi,\pi}$, maka
$f(x)=\lim_{n\to\infty}s_n(x)$.

(ii) Jika perpanjangan periodik $\tilde f$ dari $f$ dapat terdiferensiasi di
$\pi$, lalu $f(\pi)=\lim_{n\to\infty}s_n(\pi)$.

\wheader{282L}{0}{0}{0}{60pt}

",e65eda69e80e1c54c508fed15f3bf842ff34e455eacf5d75797eae8abb46d212,8e8e7ec93db09f7d9ef56787f3212640943fe3871d0fb37fe2974e04d49e32f9,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
1.1.0,result,O007-FREMLIN-V2-S282-RESULT-282M,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282M,282M,282M,282M,"\leader{282M}{Lemma} Suppose that $f$ is a complex-valued
function, defined almost everywhere and of bounded variation on
$\ocint{-\pi,\pi}$.   Then $\sup_{k\in\Bbb Z}|kc_k|<\infty$, where $c_k$
is the $k$th Fourier coefficient of $f$, as in 282A.

","\leader{282M}{Lema} Misalkan $f$ adalah fungsi
bernilai kompleks, didefinisikan hampir di mana-mana dan variasi terbatas pada
$\ocint{-\pi,\pi}$.   Maka $\sup_{k\in\Bbb Z}|kc_k|<\infty$, di mana $c_k$
adalah $k$koefisien Fourier th dari $f$, seperti pada 282A.

",c0bbf43489b56b756049a57ab36c30b8a151345ab86a27074ad457a18aed5d40,fbeea72f0855938054181b3dea65a9c18a5f3ed569411c362427188ed3d0b079,"{""basis"":""formal statement bounded by its complete proof macro"",""kind"":""source-derived-result-map""}"
