schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,source_locator,provenance
1.1.0,relation,O007-FREMLIN-V1-S121-REL-001,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121DA,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121D,1,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-002,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121DB,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121D,2,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-003,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121DC,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121D,3,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-004,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EA,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,4,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-005,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EB,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,5,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-006,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EC,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,6,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-007,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121ED,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,7,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-008,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EE,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,8,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-009,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EF,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,9,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S121-REL-010,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121EG,semantic-child-of,O007-FREMLIN-V1-S121-SEG-121E,10,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
